molecule_chembl_id,canonical_smiles,pIC50
CHEMBL40302,Cc1cccc2c1OP(=O)(OCC1CCC(n3cnc4c(N)ncnc43)O1)OC2,6.040958607678906
CHEMBL223807,Cc1ccc2c(c1)COP(=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)O2,5.337242168318426
CHEMBL606885,Cc1cccc2c1OP(=O)(OC[C@H]1C=C[C@@H](n3cnc4c(NC5CC5)nc(N)nc43)C1)OC2,5.886056647693163
CHEMBL97501,Cc1cccc2c1OP(=O)(OCC1OC(n3cc(C)c(=O)[nH]c3=O)CC1N=[N+]=[N-])OC2,4.3979400086720375
CHEMBL317359,Cc1cccc2c1OP(=O)(OCC1CCC(n3cc(C)c(=O)[nH]c3=O)O1)OC2,6.0
CHEMBL95532,Cc1cccc2c1OP(=O)(OCCOCn1cnc3c(O)nc(N)nc31)OC2,4.301029995663981
CHEMBL319290,Cc1cn(C2C=CC(COP3(=O)OCc4cc(C(C)(C)C)cc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O,4.301029995663981
CHEMBL3350307,COc1ccc2c(c1)CO[P@@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)O2,5.7447274948966935
CHEMBL316665,Cc1cccc2c1OP(=O)(OCC(CO)CCn1cnc3c(O)nc(N)nc31)OC2,4.301029995663981
CHEMBL95695,Cc1cn(C2C=CC(COP3(=O)OCc4cc5ccccc5cc4O3)O2)c(=O)[nH]c1=O,6.3872161432802645
CHEMBL98298,Cc1cn(C2C=CC(COP3(=O)Oc4ccccc4C(C(Cl)Cl)O3)O2)c(=O)[nH]c1=O,4.585026652029182
CHEMBL97145,Cc1cccc2c1OP(=O)(OCC1CC(O)C(n3cnc4c(N)ncnc43)O1)OC2,4.552841968657781
CHEMBL2115274,Cc1cccc2c1OP(=O)(OC[C@H](CO)OCn1cnc3c(O)nc(N)nc31)OC2,4.301029995663981
CHEMBL31131,Cc1cc(C)c2c(c1)COP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)O2,4.337242168318426
CHEMBL330299,Cc1cn(C2C=CC(COP3(=O)OCc4cc(C(C)(C)C)ccc4O3)O2)c(=O)[nH]c1=O,5.251811972993799
CHEMBL320000,Cc1cn(C2C=CC(COP3(=O)Oc4ccccc4C(C(Cl)(Cl)Cl)O3)O2)c(=O)[nH]c1=O,4.568636235841013
CHEMBL2114303,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO[P@]3(=O)OCc4cccc(-c5ccccc5)c4O3)O2)CC1/C=C/Br,5.431798275933005
CHEMBL318643,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(CCC(=O)OC(C)(C)C)c4O3)O2)c(=O)[nH]c1=O,5.468521082957745
